"Hey @mringler, I think this looks great. I also think we should take a small step back with removing functions from the public interface of this library, so I'd advise returning configureSelectColumns and getSelect, and applying a @deprecated phpdoc tag to them.",0
This fixes the issue,0
Looks good to me,0
I tried to test this but could not bring up that spoke at all. @rvykydal do you have any idea what this is and how to test it?,0
"Tested - thanks @poncovka. Looks exactly as it should. The only drawback is that it invalidates existing translations, but that's life, I guess... @rffontenelle thank you for the change!",0
"Nice work,

related to the rename that you mentioned here, rest of toolkits already uses the same name convention, so at the end is complex to apply a change like that.

Reviewing your PR, I noticed that we renamed options by parse_options.

I think we need to rename it back to options, since it can contains parse_options, but also a settings object.
And update the parameter description that currently only mention the settings stuff:

@param options [Hash] :settings to provide the OneLogin::RubySaml::Settings object or an hash for Settings overrides

What do you think?",0
I think now is perfect,0
Coverage decreased (-0.33%) when pulling 4be5074 on jmettraux:master into 81222d7 on tobiassvn:master.,-1
"Still happens on 6.0.0.alpha. Also worth noting this doesn't happen in development mode, only production. What environment setting adds mime negotiation?",-1
Maybe we should put it somewhere in here instead?,-1
You can do assert_match here instead for better failures.,-1
"Needs a rebase, but looks good to me. Can you rebase it?",0
Looks good. Thanks for the pull request @kennethkalmer! 🎉,0
👍 thanks!,0
"I think I'm going to end up deprecating the tools section of the site and just use the wiki. I'm not 100% sure of that yet, but I added this there - https://github.com/facebook/react/wiki/Complementary-Tools",-1
(#1280 got rid of the tools page on the site.),-1
"Hi Cherno, this is just a small change to suppress the warnings you mentioned in your latest video (C4996 and C4251 specifically) when compiling for Windows.",0
"I suggest fixing the source of these warnings, like mentioned in #32",-1
"Thanks! My only opposition to adding path support to the Cloudworker class is the added complexity. I'm not sure what we gain with it. I'm open to arguments for it though. If you'd like, open an issue and we can discuss it there.",-1
"Yep, I was mistaken. Looks good. Thanks for the contribution!",-1
Thank you - too bad the Cart class is getting killed though.,-1
"I'm not nuts about the function name. Can you rename it to total_quantity(), add it to the documentation, and change log please? Then we can merge 'er in!",-1
"@CodaFi I believe there's an error in the ""Alternatives considered"" section. Result: Error, Value should actually be suggested as Result: Value, Error so that it's left-biased.",-1
"Speaking as the principal author of both a reasonably well-known Either and the de facto standard community implementation of Result, I would welcome nearly anything which hastens their demise.

That said, it’s notable that the latter has gained much more popular traction than the former (despite the latter’s youth), harmonizing with your comment later on that most uses of Either are really Result.

Therefore, I wonder if this proposal would be strengthened by the inclusion of examples of problems for which Either is well-suited, but where the norm is currently e.g. to return (A?, B?), or to abuse throws for control flow, or similar.

For example, early returns from reduce or other higher-functions are quite natural to model with Either<A, A>, where the Left case causes the immediate cessation of the operation & returns the enclosed value, while the Right case continues as normal. (Shades of Continuation and Free, but we won’t go there.)",0
What's the thinking behind a left-bias rather than a right-bias? The latter falls out naturally from type constructor currying in Haskell. Apologies if I'm asking a question which has an answer obvious to people more familiar with Swift's type system.,-1
"@CodaFi I didn't see a principled reason in the Rust documentation, but it's strictly less useful to have an unbiased Either type. Should take care to avoid making the mistake of naming the constructors ""Result"" and ""Error"" or something as well. The usefulness is the functorial bias. I've had situations where Left was my success case and Right was my failure mode because I wanted to keep ""trying"" an action that would fail repeatedly until it succeeded. The bias acted as a short-circuit and Left was my success. This, among other reasons, is why Haskell's Either just has ""Left"" and ""Right"" for the data constructors though I suspect that wasn't necessarily the original reason.

I've written about this some here: http://bitemyapp.com/posts/2015-10-19-either-is-not-arbitrary.html

If your type constructors aren't ordered or curried, I don't know of an argument against left-bias, but please do avoid choosing to call the target the Functor is biased toward ""Success"". It'll give people the wrong understanding of what it is, means, and does even if that's the common case.",-1
This was very controversial and should be discussed more on the lists.,-1
"@squillace Thanks for catching this Ralph, please sign your commit so we can merge",-1
"haha that's fair. Not a huge fan of the specific favicon myself, but I'll design one and make the change when I can spare some time :) thanks!",-1
"I think I'd just want it to be a simple white ""AS"" on top of the arxiv-sanity-red-color. If you make the change I'd be happy to merge it. You might also want to include the favicon html into the other .html file for discussions.",-1
"change looks reasonable. I am giving it a round of testing.
Under what condition would headerGet return false here? OOM? no changelog entry found?",0
test looks good.,0
"I can't accept this - if you need multiple items, please use tuple. PK can be any value and it can have ':' in it.",-1
"update: rebase master

hi @mrjoes, could you take some time to review this pr?",0
any plans to merge this? :),-1
any news about the merge ?,-1
waiting for merge,0
